,link,name,age,amount_bricks,product_number,price,rating_amount,rating_worth,rating_fun
139,https://www.lego.com/da-dk/product/lego-batman-movie-hq-luggage-tag-5005296,LEGO BATMAN: FILMEN HQ BAGAGEMÆRKE,6,90,0,0,0,0.0,0.0
140,https://www.lego.com/da-dk/product/lego-batman-movie-luggage-tag-5005273,LEGO BATMAN: FILMEN – BAGAGEMÆRKE,6,90,0,0,0,0.0,0.0
141,https://www.lego.com/da-dk/product/the-disney-castle-71040,Disney-slottet,16,4080,710407104071040,2999,4.5,4.4,4.5
142,https://www.lego.com/da-dk/product/belle-and-rapunzel-s-royal-stables-43195,Belle og Rapunzels kongelige stalde,5,239,431954319543195,449,0,0.0,0.0
143,https://www.lego.com/da-dk/product/ariel-belle-cinderella-and-tiana-s-storybook-adventures-43193,"Ariel, Belle, Askepot og Tianas bog-eventyr",5,130,431934319343193,230,0,0.0,0.0
144,https://www.lego.com/da-dk/product/scrooge-mcduck-huey-dewey-louie-40477,"Joakim von And, Rip, Rap og Rup",10,340,404774047740477,230,0,0.0,0.0
145,https://www.lego.com/da-dk/product/mickey-mouse-40456,Mickey Mouse,8,118,404564045640456,150,0,0.0,0.0
146,https://www.lego.com/da-dk/product/minnie-mouse-40457,Minnie Mouse,8,140,404574045740457,150,0,0.0,0.0
147,https://www.lego.com/da-dk/product/goofy-pluto-40378,Fedtmule og Pluto,10,214,403784037840378,130,4.5,4.7,4.5
148,https://www.lego.com/da-dk/product/donald-duck-40377,Anders And,10,90,403774037740377,100,4.0,4.7,4.0
149,https://www.lego.com/da-dk/product/daisy-duck-40476,Andersine And,10,110,404764047640476,100,0,0.0,0.0
150,https://www.lego.com/da-dk/product/mickey-mouse-minnie-mouse-buildable-characters-43179,Bygbare Mickey Mouse og Minnie Mouse-figurer,18,1739,431794317943179,1399,4.0,3.8,4.0
151,https://www.lego.com/da-dk/product/winnie-the-pooh-21326,Peter Plys,18,1265,213262132621326,899,4.7,4.4,4.7
152,https://www.lego.com/da-dk/product/elsa-s-magical-ice-palace-43172,Elsas magiske ispalads,6,701,431724317243172,649,0,0.0,0.0
153,https://www.lego.com/da-dk/product/boun-s-boat-43185,Bouns båd,6,247,431854318543185,449,0,0.0,0.0
154,https://www.lego.com/da-dk/product/bruni-the-salamander-buildable-character-43186,Salamanderen Bruni – bygbar figur,6,96,431864318643186,100,0,0.0,0.0
